code,date
601808,2009-11-13
601808,2010-04-13
601808,2010-10-20
601808,2010-10-25
601808,2010-11-19
601808,2010-11-22
601808,2011-02-16
601808,2012-02-08
601808,2013-02-05
601808,2013-08-19
601808,2013-09-02
601808,2014-12-31
601808,2015-03-25
601808,2015-04-16
601808,2016-07-21
601808,2017-02-28
601808,2017-03-06
601808,2017-10-13
601808,2019-11-12
601808,2022-09-02
601811,2017-09-18
601811,2018-09-13
601811,2018-09-20
601811,2018-11-21
601811,2018-12-03
601811,2018-12-04
601811,2019-01-22
601811,2019-03-05
601811,2021-09-16
601811,2021-12-27
601811,2021-12-29
601811,2023-02-09
601811,2023-02-20
601811,2023-03-28
601811,2023-03-31
601811,2023-04-11
601811,2023-04-24
601811,2024-03-13
601811,2024-03-18
601816,2022-01-13
601816,2023-01-31
601816,2023-12-07
601818,2011-04-13
601818,2012-01-17
601818,2012-01-19
601818,2012-02-02
601818,2012-02-08
601818,2013-09-23
601818,2015-03-27
601818,2016-07-18
601818,2017-02-08
601818,2017-02-20
601818,2017-11-30
601818,2018-02-01
601818,2018-09-12
601818,2020-12-01
601818,2022-01-18
601818,2022-11-22
601818,2022-12-16
601818,2023-04-27
601818,2023-05-04
601818,2023-09-25
601818,2024-01-12
601818,2024-01-24
601825,2022-06-14
601825,2023-08-10
601827,2022-11-23
601827,2022-11-28
601827,2023-07-17
601828,2019-02-22
601828,2019-03-11
601828,2019-03-18
601828,2020-06-01
601828,2020-06-04
601828,2021-05-24
601828,2022-01-17
601838,2018-09-28
601838,2019-12-26
601838,2021-05-19
601838,2021-05-20
601838,2021-09-17
601838,2022-04-15
601838,2022-12-05
601838,2023-07-28
601857,2009-05-25
601857,2010-01-12
601857,2010-01-19
601857,2010-08-06
601857,2010-10-25
601857,2012-12-25
601857,2014-05-23
601857,2014-05-26
601857,2015-03-26
601857,2015-03-30
601857,2015-04-01
601857,2015-07-15
601857,2015-07-20
601857,2016-03-16
601857,2017-01-23
601857,2017-07-25
601857,2017-08-04
601857,2017-09-06
601857,2018-01-19
601857,2018-05-18
601857,2018-08-20
601857,2018-08-24
601857,2018-10-09
601857,2019-02-22
601857,2020-11-23
601857,2020-12-02
601857,2022-01-20
601857,2022-09-02
601857,2023-03-17
601858,2017-03-16
601858,2017-03-20
601858,2018-06-11
601858,2018-06-14
601858,2019-03-05
601858,2019-03-11
601858,2019-09-19
601858,2020-07-20
601858,2021-12-30
601858,2022-01-10
601858,2022-04-12
601858,2022-09-01
601858,2022-11-22
601858,2023-04-11
601860,2022-09-14
601860,2022-12-08
601860,2022-12-13
601865,2021-07-05
601865,2021-07-07
601865,2022-03-16
601866,2009-04-10
601866,2009-11-25
601866,2010-03-05
601866,2010-08-11
601866,2010-08-16
601866,2010-10-27
